dataset,linkage,metric,noise,family,seed,base,jaccard_median,runs
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,High,gen_base_2,0.8005937654626423,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,Low,base,0.9655172413793104,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,Low,clusters,0.6917684305744007,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,Low,gen_base_1,0.895945945945946,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,Low,gen_base_2,0.9411764705882353,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedHigh,base,0.7567567567567568,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_1,0.8976934523809523,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedHigh,gen_base_2,0.8558441558441559,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedLow,base,0.7776061776061776,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedLow,clusters,0.8972602739726028,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedLow,gen_base_1,0.8410852713178294,5
UCI-iris,single,cityblock,0.02,sepal length (cm)_quantiles,MedLow,gen_base_2,0.8148581837106428,5
UCI-iris,single,euclidean,0.0,label,class_0,base,1.0,5
UCI-iris,single,euclidean,0.0,label,class_0,clusters,0.9705882352941176,5
UCI-iris,single,euclidean,0.0,label,class_0,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,label,class_0,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,label,class_1,base,1.0,5
UCI-iris,single,euclidean,0.0,label,class_1,clusters,0.9323835368611488,5
UCI-iris,single,euclidean,0.0,label,class_1,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,label,class_1,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,label,class_2,base,1.0,5
UCI-iris,single,euclidean,0.0,label,class_2,clusters,0.9850746268656716,5
UCI-iris,single,euclidean,0.0,label,class_2,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,label,class_2,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,High,base,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,High,clusters,0.9696969696969697,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,High,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,Low,base,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,Low,clusters,0.7164179104477612,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,Low,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,base,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,clusters,0.9850746268656716,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedHigh,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedLow,base,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedLow,clusters,0.8173572459286745,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.0,sepal length (cm)_quantiles,MedLow,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.02,label,class_0,base,1.0,5
UCI-iris,single,euclidean,0.02,label,class_0,clusters,0.9705882352941176,5
UCI-iris,single,euclidean,0.02,label,class_0,gen_base_1,1.0,5
UCI-iris,single,euclidean,0.02,label,class_0,gen_base_2,1.0,5
UCI-iris,single,euclidean,0.02,label,class_1,base,0.9444444444444444,5
UCI-iris,single,euclidean,0.02,label,class_1,clusters,0.9850746268656716,5
UCI-iris,single,euclidean,0.02,label,class_1,gen_base_1,0.9148550724637681,5
UCI-iris,single,euclidean,0.02,label,class_1,gen_base_2,0.91875,5
UCI-iris,single,euclidean,0.02,label,class_2,base,0.9714285714285714,5
UCI-iris,single,euclidean,0.02,label,class_2,clusters,0.9850746268656716,5
UCI-iris,single,euclidean,0.02,label,class_2,gen_base_1,0.8090909090909091,5
